ID,Group,DefaultVeg,DefaultMeat,Default_Selection,Diet,Diet_4_TEXT,AgeGroup,Race,Race_6_TEXT,Hispanic,Employment,Employment_5_TEXT,MealServed,Satisfaction,Plant_Importance,Plant_Importance_Why,Plant_Importance_Why_8_TEXT
35,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Satisfied,Important,Support of animal welfare,
36,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,25-34 years old,White,,,Graduate Student,,Meal with meat,Satisfied,Very important,Health,
37,DefaultMeat,,Stay with the meal with meat,DefaultStay,Other,Carnivore,45-54 years old,White,,Non-Hispanic/Non-Latinx,,,Meal with meat,Satisfied,Not important,,
38,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,35-44 years old,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
39,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,25-34 years old,White,,Hispanic/Latinx,Graduate Student,,Meal with meat,Neither satisfied nor unsatisfied,Not too important,,
40,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,25-34 years old,Asian,,Non-Hispanic/Non-Latinx,Graduate Student,,Plant-based meal,Satisfied,Not important,,
41,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,35-44 years old,White,,Non-Hispanic/Non-Latinx,Graduate Student,,Plant-based meal,Satisfied,Important,Health,
42,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,Under 18 years old,White,,Hispanic/Latinx,Other,highschool student,Meal with meat,Unsatisfied,Not too important,,
43,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,25-34 years old,Asian,,Non-Hispanic/Non-Latinx,Graduate Student,,Meal with meat,Very unsatisfied,Not too important,,
44,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,25-34 years old,Asian,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Unsatisfied,Not too important,,
45,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,45-54 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,Meal with meat,Very unsatisfied,Not too important,,
46,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,35-44 years old,Prefer not to say,,Hispanic/Latinx,Graduate Student,,,,,,
47,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Prefer not to say,,,,,,
48,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,18-24 years old,White,,Non-Hispanic/Non-Latinx,Undergraduate Student,,,,,,
49,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,18-24 years old,White,,Non-Hispanic/Non-Latinx,Undergraduate Student,,,,,,
50,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,Under 18 years old,White,,Hispanic/Latinx,Other,High school student ,,,,,
51,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,25-34 years old,Black of African American,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Very satisfied,Important,Filling,
52,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,25-34 years old,Asian,,Non-Hispanic/Non-Latinx,Faculty,,Plant-based meal,Satisfied,Not important,,
53,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,45-54 years old,Prefer not to say,,Prefer not to say,Prefer not to say,,Plant-based meal,Very satisfied,Not too important,,
54,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Graduate Student,,,,,,
55,DefaultVeg,,,DefaultSwitch,,,,,,,,,Meal with meat,Neither satisfied nor unsatisfied,Not too important,,
56,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Graduate Student,,,,,,
57,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,18-24 years old,White,,Hispanic/Latinx,Staff,,Plant-based meal,Unsatisfied,Not too important,,I like to eat a varied diet and enjoy eating vegetarian food items when available and appealing.
58,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,55-64 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,,,,,
59,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,25-34 years old,Other,"",,Graduate Student,,Meal with meat,Unsatisfied,Not too important,,
60,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,25-34 years old,White,,Hispanic/Latinx,Staff,,,,,,
61,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,35-44 years old,Prefer not to say,,Prefer not to say,Staff,,,,,,
62,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,45-54 years old,Prefer not to say,,Prefer not to say,Faculty,,Plant-based meal,Unsatisfied,Important,Health,
63,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Graduate Student,,Meal with meat,Unsatisfied,Not too important,,
64,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,55-64 years old,White,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Very unsatisfied,Not too important,,
65,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Graduate Student,,Plant-based meal,Satisfied,Not too important,,
66,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,None of the above,,45-54 years old,Asian,,Non-Hispanic/Non-Latinx,Staff,,,,,,
67,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,55-64 years old,Asian,,Non-Hispanic/Non-Latinx,Faculty,,Meal with meat,Very satisfied,Not too important,,
68,DefaultVeg,Stay with the plant-based meal,,DefaultStay,Vegetarian,,Under 18 years old,Asian,,Hispanic/Latinx,Undergraduate Student,,,,,,
69,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,Vegan,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,Plant-based meal,Very satisfied,Very important,Environmental impact,
70,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,35-44 years old,Prefer not to say,,Hispanic/Latinx,Staff,,,,,,
71,DefaultVeg,Stay with the plant-based meal,,DefaultStay,Vegetarian,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Graduate Student,,Plant-based meal,Satisfied,Not important,,
72,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,Under 18 years old,White,,Hispanic/Latinx,Other,Highschool,,,,,
73,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,35-44 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,Meal with meat,Neither satisfied nor unsatisfied,Not too important,,
74,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
75,DefaultMeat,,,DefaultStay,,,,,,,,,Meal with meat,Very satisfied,Not important,,
76,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,,,,,,,Graduate Student,,Meal with meat,Neither satisfied nor unsatisfied,Not too important,,
77,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,Vegetarian,,35-44 years old,Prefer not to say,,,Staff,,Plant-based meal,Neither satisfied nor unsatisfied,Very important,Support of animal welfare,
78,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,35-44 years old,White,,Hispanic/Latinx,Staff,,Plant-based meal,Unsatisfied,Not too important,,
79,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,55-64 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,Meal with meat,Satisfied,Not important,,
80,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,45-54 years old,Native American or Alaska Native,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Neither satisfied nor unsatisfied,Not important,,
81,DefaultVeg,Stay with the plant-based meal,,DefaultStay,Pescatarian,,45-54 years old,Asian,,Non-Hispanic/Non-Latinx,Faculty,,Plant-based meal,Neither satisfied nor unsatisfied,Important,Health,
82,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,25-34 years old,Asian,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Very unsatisfied,Not important,,
83,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Neither satisfied nor unsatisfied,Not too important,,
84,DefaultVeg,Stay with the plant-based meal,,DefaultStay,Other,Omnivore,45-54 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,,,,,
85,DefaultVeg,Stay with the plant-based meal,,DefaultStay,Vegan,,55-64 years old,White,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Very satisfied,Very important,Other,
86,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,,,,,,,,,,,,,
87,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,55-64 years old,White,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Very satisfied,Important,Health,
88,DefaultMeat,,,DefaultSwitch,,,,,,,,,Plant-based meal,Very satisfied,Very important,Support of animal welfare,
89,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,Pescatarian,,,,,,,,,,,,
90,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,45-54 years old,White,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Satisfied,Not important,,
91,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
92,DefaultMeat,,,DefaultStay,,,,,,,,,Meal with meat,Satisfied,Not important,,
93,DefaultVeg,Stay with the plant-based meal,,DefaultStay,Vegetarian,,,,,,,,,,,,
94,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,35-44 years old,White,,Hispanic/Latinx,Staff,,Plant-based meal,Neither satisfied nor unsatisfied,Not too important,,
